iter	Passed	Remaining
0	1	165
1	2	142
2	3	125
3	4	115
4	5	113
5	7	111
6	8	109
7	9	107
8	10	104
9	11	103
10	12	103
11	14	102
12	15	101
13	16	100
14	17	98
15	18	97
16	19	96
17	20	95
18	21	93
19	23	92
20	24	91
21	25	89
22	26	88
23	27	87
24	28	85
25	29	84
26	31	83
27	32	82
28	33	81
29	34	80
30	35	79
31	36	78
32	38	77
33	39	76
34	40	75
35	41	74
36	42	73
37	44	71
38	45	70
39	46	69
40	47	68
41	47	65
42	48	64
43	50	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	58	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	50
56	65	49
57	66	47
58	67	46
59	68	45
60	69	44
61	70	43
62	71	42
63	73	41
64	74	40
65	75	38
66	76	37
67	77	36
68	78	35
69	80	34
70	81	33
71	82	32
72	83	30
73	84	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	115	0
