iter	Passed	Remaining
0	152	152343
1	153	76843
2	155	51692
3	156	39081
4	158	31518
5	159	26486
6	161	22892
7	162	20189
8	164	18081
9	165	16407
10	167	15057
11	169	13963
12	170	12981
13	172	12145
14	174	11432
15	175	10802
16	177	10244
17	196	10734
18	198	10260
19	200	9840
20	202	9437
21	204	9070
22	205	8733
23	207	8455
24	210	8197
25	211	7924
26	212	7671
27	215	7484
28	217	7271
29	218	7071
30	220	6886
31	223	6772
32	226	6627
33	230	6535
34	248	6852
35	250	6711
36	253	6594
37	255	6467
38	256	6328
39	258	6196
40	260	6088
41	261	5975
42	263	5863
43	264	5755
44	266	5653
45	267	5555
46	270	5488
47	272	5395
48	273	5308
49	274	5224
50	276	5142
51	307	5614
52	309	5529
53	310	5448
54	312	5368
55	313	5291
56	317	5246
57	322	5240
58	326	5206
59	327	5135
60	336	5176
61	337	5111
62	339	5045
63	340	4981
64	342	4920
65	343	4861
66	344	4804
67	346	4753
68	348	4700
69	370	4925
70	374	4893
71	375	4841
72	383	4867
73	385	4819
74	387	4780
75	389	4731
76	391	4693
77	395	4676
78	399	4652
79	400	4605
80	401	4559
81	403	4515
82	404	4468
83	405	4425
84	407	4383
85	411	4372
86	413	4337
87	452	4687
88	454	4648
89	455	4606
90	456	4564
91	462	4564
92	463	4523
93	465	4483
94	466	4444
95	468	4412
96	470	4375
97	471	4339
98	472	4303
99	476	4288
100	477	4254
101	479	4221
102	480	4188
103	482	4156
104	483	4124
105	485	4093
106	486	4063
107	489	4044
108	491	4015
109	492	3987
110	494	3958
111	495	3930
112	497	3902
113	498	3875
114	500	3848
115	501	3821
116	502	3792
117	506	3785
118	508	3764
119	510	3740
120	512	3723
121	517	3721
122	518	3697
123	520	3676
124	549	3848
125	551	3824
126	552	3797
127	554	3775
128	555	3753
129	557	3729
130	558	3706
131	560	3682
132	561	3661
133	563	3640
134	564	3618
135	566	3597
136	567	3577
137	569	3558
138	571	3537
139	572	3516
140	573	3496
141	577	3487
142	606	3636
143	608	3615
144	609	3595
145	611	3574
146	612	3554
147	614	3535
148	617	3529
149	619	3511
150	621	3492
151	622	3473
152	623	3454
153	625	3436
154	627	3418
155	628	3402
156	632	3394
157	633	3375
158	634	3358
159	636	3340
160	637	3320
161	659	3411
162	660	3394
163	665	3393
164	667	3376
165	668	3358
166	670	3342
167	671	3326
168	673	3310
169	674	3293
170	676	3277
171	678	3267
172	680	3253
173	682	3237
174	683	3221
175	684	3206
176	686	3191
177	687	3176
178	689	3161
179	690	3146
180	692	3131
181	715	3216
182	717	3202
183	718	3187
184	719	3171
185	721	3156
186	722	3142
187	724	3127
188	725	3114
189	727	3101
190	728	3087
191	730	3074
192	732	3060
193	733	3047
194	734	3033
195	736	3020
196	737	3006
197	739	2994
198	741	2983
199	742	2970
200	744	2958
201	767	3033
202	769	3020
203	770	3007
204	772	2994
205	774	2983
206	775	2971
207	777	2958
208	778	2946
209	779	2933
210	781	2921
211	782	2909
212	784	2897
213	785	2885
214	787	2873
215	788	2863
216	790	2852
217	824	2958
218	826	2946
219	827	2934
220	829	2923
221	830	2912
222	832	2900
223	833	2888
224	835	2876
225	836	2865
226	838	2855
227	839	2844
228	841	2832
229	842	2821
230	844	2810
231	845	2799
232	847	2788
233	848	2777
234	855	2786
235	857	2775
236	858	2764
237	888	2845
238	889	2833
239	891	2822
240	892	2811
241	894	2801
242	895	2790
243	897	2780
244	899	2771
245	902	2764
246	903	2755
247	905	2745
248	907	2735
249	908	2726
250	910	2716
251	912	2707
252	913	2697
253	915	2687
254	916	2678
255	941	2735
256	942	2724
257	943	2714
258	945	2704
259	946	2694
260	948	2684
261	950	2676
262	951	2666
263	953	2657
264	954	2648
265	956	2638
266	957	2629
267	959	2619
268	960	2610
269	962	2601
270	963	2592
271	965	2583
272	966	2574
273	968	2565
274	969	2555
275	971	2547
276	972	2538
277	973	2529
278	975	2520
279	977	2513
280	979	2505
281	981	2497
282	982	2489
283	983	2480
284	985	2471
285	986	2463
286	987	2454
287	989	2445
